p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	aln	tcas	D.Symbol	D.Name	tcas_name	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC0012271	3.11254057551578e-162	0.447485422396186	0.316	0.066	3.29524670729856e-158	4	TcasGA2-TC001227	TcasGA2_TC001227	gnl|WGS:AAJJ|TC001227-PA	CG9919	uncharacterized protein Dmel_CG9919, isoform A	TcasGA2-TC001227	CM000277.3	12988349	12989992	1644	+	hypothetical protein	2
TcasGA2-TC009040	4.87582400445236e-162	0.357822905273361	0.416	0.106	5.16203487351372e-158	4	TcasGA2-TC009040	TcasGA2_TC009040	gnl|WGS:AAJJ|TC009040-PA	CG2100	uncharacterized protein Dmel_CG2100, isoform B	TcasGA2-TC009040	CM000282.3	8211641	8213478	1838	-	CCA tRNA nucleotidyltransferase 1, mitochondrial-like Protein	7
TcasGA2-TC009925	1.93156130113131e-161	0.37156987698811	0.262	0.047	2.04494394950772e-157	4	TcasGA2-TC009925	TcasGA2_TC009925	gnl|WGS:AAJJ|TC009925-PA	RhoGAP102A	Rho GTPase activating protein at 102A, isoform F	TcasGA2-TC009925	CM000282.3	11763491	11767171	3681	-	hypothetical protein	7
TcasGA2-TC0140372	2.75706897998047e-161	0.552976446668004	0.466	0.131	2.91890892910532e-157	4	TcasGA2-TC014037	TcasGA2_TC014037	gnl|WGS:AAJJ|TC014037-PA	Stam	signal transducing adaptor molecule	TcasGA2-TC014037	CM000280.3	4617472	4622253	4782	+	Signal transducing adapter molecule 1-like Protein	5
TcasGA2-TC006037	3.83637431728495e-161	0.302008300891923	0.411	0.104	4.06156948970958e-157	4	TcasGA2-TC006037	TcasGA2_TC006037	gnl|WGS:AAJJ|TC006037-PA	I-2	Inhibitor-2, isoform A	TcasGA2-TC006037	CM000283.3	2571702	2572877	1176	-	Protein phosphatase inhibitor 2-like Protein	8
TcasGA2-TC0157602	3.8754149343702e-161	0.515676442557574	0.79	0.299	4.10290179101773e-157	4	TcasGA2-TC015760	TcasGA2_TC015760	gnl|WGS:AAJJ|TC015760-PA	CG32436	uncharacterized protein Dmel_CG32436	TcasGA2-TC015760	CM000281.3	7583403	7591799	8397	+	hypothetical protein	6
TcasGA2-TC0049102	6.78550793334586e-161	0.513501330801014	0.51	0.147	7.18381724903326e-157	4	TcasGA2-TC004910	TcasGA2_TC004910	gnl|WGS:AAJJ|TC004910-PA	sotv	sister of tout-velu	TcasGA2-TC004910	CM000277.3	4517468	4526323	8856	+	Exostosin-2-like Protein	2
TcasGA2-TC0115622	2.50934446152602e-160	0.529102900892026	0.739	0.268	2.6566429814176e-156	4	TcasGA2-TC011562	TcasGA2_TC011562	gnl|WGS:AAJJ|TC011562-PA	Dip-C	dipeptidase C, isoform B	TcasGA2-TC011562	KQ971866.1	95336	104324	8989	+	Xaa-Pro dipeptidase-like Protein	NA
TcasGA2-TC004557	7.70144687412973e-160	0.488256629315125	0.269	0.049	8.15352180564115e-156	4	TcasGA2-TC004557	TcasGA2_TC004557	gnl|WGS:AAJJ|TC004557-PA	SP1029	SP1029, isoform D	TcasGA2-TC004557	CM000277.3	2543126	2553662	10537	-	aminopeptidase N-like protein	2
TcasGA2-TC0309102	1.30236820996554e-159	0.481640345557875	0.859	0.339	1.37881722389051e-155	4	TcasGA2-TC030910	TcasGA2_TC030910	gnl|WGS:AAJJ|TC030910-PA	CG33253	uncharacterized protein Dmel_CG33253, isoform A	TcasGA2-TC030910	CM000281.3	5681033	5691604	10572	+	hypothetical protein	6
TcasGA2-TC0307832	2.00923587342517e-159	0.414024473421173	0.81	0.312	2.12717801919523e-155	4	TcasGA2-TC030783	TcasGA2_TC030783	gnl|WGS:AAJJ|TC030783-PA	kra	krasavietz, isoform G	TcasGA2-TC030783	CM000282.3	11956194	11960934	4741	-	Protein krasavietz-like Protein	7
TcasGA2-TC0058772	3.99190733153326e-159	0.395215379406545	0.822	0.317	4.22623229189426e-155	4	TcasGA2-TC005877	TcasGA2_TC005877	gnl|WGS:AAJJ|TC005877-PA	CG4438	uncharacterized protein Dmel_CG4438, isoform B	TcasGA2-TC005877	CM000283.3	6109676	6112022	2347	-	28 kDa heat- and acid-stable phosphoprotein-like Protein	8
TcasGA2-TC014470	1.49268044568963e-158	0.290433558570867	0.384	0.092	1.58030078785161e-154	4	TcasGA2-TC014470	TcasGA2_TC014470	gnl|WGS:AAJJ|TC014470-PA	CG34179	slowmo, isoform C	TcasGA2-TC014470	CM000280.3	10716369	10719766	3398	+	Protein slowmo-like Protein	5
TcasGA2-TC0326132	1.6478747843755e-158	0.526883884372745	0.933	0.385	1.74460503421834e-154	4	TcasGA2-TC032613	TcasGA2_TC032613	gnl|WGS:AAJJ|TC032613-PA	Muc11A	mucin 11A	TcasGA2-TC032613	CM000278.3	20339801	20341877	2077	-	hypothetical protein	3
TcasGA2-TC0341222	1.42535970879899e-157	0.404562588329998	0.565	0.176	1.50902832370549e-153	4	TcasGA2-TC034122	TcasGA2_TC034122	gnl|WGS:AAJJ|TC034122-PA	prg	piragua, isoform B	TcasGA2-TC034122	CM000283.3	11401799	11403073	1275	+	RE1-silencing transcription factor-like Protein	8
TcasGA2-TC0334932	2.67719920361524e-157	0.477983338611099	0.844	0.34	2.83435079686745e-153	4	TcasGA2-TC033493	TcasGA2_TC033493	gnl|WGS:AAJJ|TC033493-PA	Hsp68	heat shock protein 68	TcasGA2-TC033493	CM000283.3	1631152	1653403	22252	-	Heat shock protein 68-like Protein	8
TcasGA2-TC0026291	3.87045216147403e-157	0.470844042991243	0.343	0.078	4.09764770335256e-153	4	TcasGA2-TC002629	TcasGA2_TC002629	gnl|WGS:AAJJ|TC002629-PA	Pp2A-29B	protein phosphatase 2A at 29B, isoform D	TcasGA2-TC002629	CM000278.3	20952529	20969283	16755	-	hypothetical protein	3
TcasGA2-TC0054252	7.18476958065e-157	0.430148646165125	0.416	0.107	7.60651555503416e-153	4	TcasGA2-TC005425	TcasGA2_TC005425	gnl|WGS:AAJJ|TC005425-PA	Pop2	Pop2, isoform E	TcasGA2-TC005425	CM000283.3	13344078	13347286	3209	-	Poly(A)-specific ribonuclease PARN-like Protein	8
TcasGA2-TC0063652	1.37489857813012e-155	0.690432211801018	0.993	0.529	1.45560512466636e-151	4	TcasGA2-TC006365	TcasGA2_TC006365	gnl|WGS:AAJJ|TC006365-PA	Chchd2	Coiled-coil-helix-coiled-coil-helix domain containing 2, isoform A	TcasGA2-TC006365	CM000283.3	7946061	7946985	925	+	hypothetical protein	8
TcasGA2-TC004262	1.77153409278122e-154	0.367271805658089	0.347	0.079	1.87552314402748e-150	4	TcasGA2-TC004262	TcasGA2_TC004262	gnl|WGS:AAJJ|TC004262-PA	CG1640	uncharacterized protein Dmel_CG1640, isoform B	TcasGA2-TC004262	KQ971817.1	8203	8944	742	-	Alanine aminotransferase 2-like Protein	NA
TcasGA2-TC0113512	8.77883914346587e-154	0.500283730611558	0.508	0.15	9.29415700118732e-150	4	TcasGA2-TC011351	TcasGA2_TC011351	gnl|WGS:AAJJ|TC011351-PA	CG42399	uncharacterized protein Dmel_CG42399, isoform B	TcasGA2-TC011351	CM000285.3	4258659	4261495	2837	+	hypothetical protein	10
TcasGA2-TC0029032	2.01706099418503e-153	0.551173734603942	0.975	0.459	2.13546247454369e-149	4	TcasGA2-TC002903	TcasGA2_TC002903	gnl|WGS:AAJJ|TC002903-PA	OSCP1	organic solute carrier partner 1	TcasGA2-TC002903	CM000278.3	6843979	6844701	723	-	hypothetical protein	3
TcasGA2-TC0348772	2.25759097749195e-153	0.442484400076616	0.838	0.339	2.39011156787073e-149	4	TcasGA2-TC034877	TcasGA2_TC034877	gnl|WGS:AAJJ|TC034877-PA	CG30100	uncharacterized protein Dmel_CG30100, isoform B	TcasGA2-TC034877	CM000284.3	9552354	9553078	725	-	putative peptide chain release factor C12orf65 homolog, mitochondrial-like protein	9
TcasGA2-TC0124051	2.12334551416711e-151	0.359470996125903	0.43	0.117	2.24798589584872e-147	4	TcasGA2-TC012405	TcasGA2_TC012405	gnl|WGS:AAJJ|TC012405-PA	CG34457	uncharacterized protein Dmel_CG34457, isoform A	TcasGA2-TC012405	CM000284.3	6665642	6669716	4075	+	Uncharacterized protein C15orf26-like Protein	9
TcasGA2-TC0024722	7.06015149929224e-151	0.505075558930284	0.964	0.402	7.47458239230069e-147	4	TcasGA2-TC002472	TcasGA2_TC002472	gnl|WGS:AAJJ|TC002472-PA	Unr	upstream of N-ras, isoform C	TcasGA2-TC002472	CM000278.3	27786741	27818315	31575	-	Cold shock domain-containing protein E1-like Protein	3
TcasGA2-TC0029822	2.66442711270251e-150	0.75857208348213	0.996	0.496	2.82082898421815e-146	4	TcasGA2-TC002982	TcasGA2_TC002982	gnl|WGS:AAJJ|TC002982-PA	Muc14A	mucin 14A	TcasGA2-TC002982	CM000278.3	5351277	5351489	213	-	hypothetical protein	3
TcasGA2-TC000176	1.07194777569824e-149	0.412565302273881	0.265	0.051	1.13487111013173e-145	4	TcasGA2-TC000176	TcasGA2_TC000176	gnl|WGS:AAJJ|TC000176-PA	Tl	toll, isoform B	TcasGA2-TC000176	CM000277.3	15080246	15083179	2934	-	toll-like protein	2
TcasGA2-TC0093082	1.10765186850189e-149	0.48421436781215	0.669	0.238	1.17267103318295e-145	4	TcasGA2-TC009308	TcasGA2_TC009308	gnl|WGS:AAJJ|TC009308-PA	CG13032	uncharacterized protein Dmel_CG13032	TcasGA2-TC009308	CM000282.3	182762	186559	3798	+	Coiled-coil domain-containing protein 13-like Protein	7
TcasGA2-TC033458	1.41072184670047e-149	0.429006489163014	0.313	0.068	1.49353121910179e-145	4	TcasGA2-TC033458	TcasGA2_TC033458	gnl|WGS:AAJJ|TC033458-PA	tefu	telomere fusion	TcasGA2-TC033458	CM000281.3	8904992	8906196	1205	+	DNA polymerase beta-like Protein	6
TcasGA2-TC0028062	3.86701574928084e-149	0.368875666824882	0.674	0.236	4.09400957376362e-145	4	TcasGA2-TC002806	TcasGA2_TC002806	gnl|WGS:AAJJ|TC002806-PA	CG5001	uncharacterized protein Dmel_CG5001, isoform C	TcasGA2-TC002806	CM000278.3	9612577	9618039	5463	-	DnaJ protein homolog 1-like Protein	3
TcasGA2-TC0113812	1.08403592334908e-148	0.317009067043072	0.558	0.175	1.14766883204967e-144	4	TcasGA2-TC011381	TcasGA2_TC011381	gnl|WGS:AAJJ|TC011381-PA	Cisd2	CDGSH iron sulfur domain 2	TcasGA2-TC011381	KQ971410.1	525363	526048	686	+	CDGSH iron-sulfur domain-containing protein 2 homolog-like Protein	NA
TcasGA2-TC0331662	8.6947563387949e-148	0.339323439522689	0.532	0.164	9.20513853588216e-144	4	TcasGA2-TC033166	TcasGA2_TC033166	gnl|WGS:AAJJ|TC033166-PA	CG14693	uncharacterized protein Dmel_CG14693, isoform C	TcasGA2-TC033166	CM000280.3	10538945	10563055	24111	-	hypothetical protein	5
TcasGA2-TC0311052	1.10728984508914e-147	0.481533828109857	0.628	0.214	1.17228775899587e-143	4	TcasGA2-TC031105	TcasGA2_TC031105	gnl|WGS:AAJJ|TC031105-PA	Cep135	centrosomal protein 135kDa, isoform A	TcasGA2-TC031105	CM000279.2	6146528	6160177	13650	+	hypothetical protein	4
TcasGA2-TC0066752	1.25751478776188e-146	0.422216938436628	0.509	0.155	1.33133090580351e-142	4	TcasGA2-TC006675	TcasGA2_TC006675	gnl|WGS:AAJJ|TC006675-PA	CG42557	uncharacterized protein Dmel_CG42558	TcasGA2-TC006675	CM000283.3	12746891	12747070	180	+	hypothetical protein	8
TcasGA2-TC0122712	3.02954523613078e-145	0.628267760664441	0.992	0.499	3.20737954149166e-141	4	TcasGA2-TC012271	TcasGA2_TC012271	gnl|WGS:AAJJ|TC012271-PA	nej	nejire, isoform E	TcasGA2-TC012271	CM000284.3	3470482	3473710	3229	+	hypothetical protein	9
TcasGA2-TC012429	3.55468650041273e-144	0.262366626324417	0.309	0.069	3.76334659798696e-140	4	TcasGA2-TC012429	TcasGA2_TC012429	gnl|WGS:AAJJ|TC012429-PA	CG8974	uncharacterized protein Dmel_CG8974, isoform C	TcasGA2-TC012429	CM000284.3	7239370	7240497	1128	+	E3 ubiquitin-protein ligase RNF185-like Protein	9
TcasGA2-TC0155241	3.5171643899738e-142	0.410677487463302	0.324	0.075	3.72362193966526e-138	4	TcasGA2-TC015524	TcasGA2_TC015524	gnl|WGS:AAJJ|TC015524-PA	Cul2	cullin 2, isoform B	TcasGA2-TC015524	CM000281.3	1726172	1734347	8176	+	Cullin homolog 1-like Protein	6
TcasGA2-TC0338482	3.13686246161171e-141	0.530446796242713	0.886	0.405	3.32099628810831e-137	4	TcasGA2-TC033848	TcasGA2_TC033848	gnl|WGS:AAJJ|TC033848-PA	Rbbp5	retinoblastoma binding protein 5	TcasGA2-TC033848	CM000282.3	13684460	13685147	688	-	hypothetical protein	7
TcasGA2-TC0054682	1.28042474541657e-140	0.413646152956627	0.468	0.139	1.35558567797252e-136	4	TcasGA2-TC005468	TcasGA2_TC005468	gnl|WGS:AAJJ|TC005468-PA	CG13806	uncharacterized protein Dmel_CG13806	TcasGA2-TC005468	CM000283.3	12667829	12668686	858	-	hypothetical protein	8
TcasGA2-TC0032172	1.28490271115608e-140	0.356357615123831	0.758	0.289	1.36032650030094e-136	4	TcasGA2-TC003217	TcasGA2_TC003217	gnl|WGS:AAJJ|TC003217-PA	CG31802	uncharacterized protein Dmel_CG31802	TcasGA2-TC003217	CM000278.3	29231	30714	1484	-	hypothetical protein	3
TcasGA2-TC0127182	4.83776858043755e-140	0.341968493956266	0.403	0.11	5.12174559610923e-136	4	TcasGA2-TC012718	TcasGA2_TC012718	gnl|WGS:AAJJ|TC012718-PA	cin	cinnamon, isoform A	TcasGA2-TC012718	CM000284.3	13624231	13625745	1515	+	FAD synthase-like Protein	9
TcasGA2-TC0343571	1.37879029175735e-139	0.313538801722506	0.568	0.189	1.45972528188351e-135	4	TcasGA2-TC034357	TcasGA2_TC034357	gnl|WGS:AAJJ|TC034357-PA	Camta	Calmodulin-binding transcription activator, isoform F	TcasGA2-TC034357	CM000284.3	8822799	9039478	216680	-	hypothetical protein	9
TcasGA2-TC0093152	2.80257633031331e-139	0.315805002075899	0.532	0.171	2.9670875609027e-135	4	TcasGA2-TC009315	TcasGA2_TC009315	gnl|WGS:AAJJ|TC009315-PA	vlc	vulcan, isoform B	TcasGA2-TC009315	CM000282.3	276096	281293	5198	+	hypothetical protein	7
TcasGA2-TC011208	5.63180835032806e-139	0.322192040816384	0.356	0.09	5.96239550049232e-135	4	TcasGA2-TC011208	TcasGA2_TC011208	gnl|WGS:AAJJ|TC011208-PA	Calx	Na/Ca-exchange protein, isoform H	TcasGA2-TC011208	CM000285.3	2239903	2247530	7628	-	hypothetical protein	10
TcasGA2-TC0039962	1.32296909631841e-138	0.425909346946554	0.611	0.211	1.4006273822723e-134	4	TcasGA2-TC003996	TcasGA2_TC003996	gnl|WGS:AAJJ|TC003996-PA	CG3061	uncharacterized protein Dmel_CG3061	TcasGA2-TC003996	CM000278.3	28927334	28929485	2152	-	DnaJ homolog subfamily B member 12-like Protein	3
TcasGA2-TC002495	2.52161696687697e-138	0.378103545967241	0.276	0.058	2.66963588283265e-134	4	TcasGA2-TC002495	TcasGA2_TC002495	gnl|WGS:AAJJ|TC002495-PA	fidipidine	fidipidine	TcasGA2-TC002495	CM000278.3	26684368	26691624	7257	-	Coiled-coil domain-containing protein 93-like Protein	3
TcasGA2-TC033950	7.82355996960386e-138	0.307403892661899	0.469	0.14	8.2828029398196e-134	4	TcasGA2-TC033950	TcasGA2_TC033950	gnl|WGS:AAJJ|TC033950-PA	schlank	schlank, isoform B	TcasGA2-TC033950	CM000283.3	2414925	2419416	4492	-	Ceramide synthase 5-like Protein	8
TcasGA2-TC0123432	1.13684678473909e-137	0.500096424798992	0.449	0.133	1.20357969100328e-133	4	TcasGA2-TC012343	TcasGA2_TC012343	gnl|WGS:AAJJ|TC012343-PA	Miro	mitochondrial Rho, isoform D	TcasGA2-TC012343	CM000284.3	5118338	5125110	6773	+	Mitochondrial Rho GTPase-like Protein	9
TcasGA2-TC006236	1.69602342130305e-137	0.309977306926779	0.339	0.083	1.79557999613354e-133	4	TcasGA2-TC006236	TcasGA2_TC006236	gnl|WGS:AAJJ|TC006236-PA	tzn	tenzing norgay, isoform A	TcasGA2-TC006236	CM000283.3	5530921	5532605	1685	+	Hydroxyacylglutathione hydrolase, mitochondrial-like Protein	8
TcasGA2-TC002055	1.17123453798857e-136	0.288713901338091	0.384	0.103	1.2399860053685e-132	4	TcasGA2-TC002055	TcasGA2_TC002055	gnl|WGS:AAJJ|TC002055-PA	CG7352	uncharacterized protein Dmel_CG7352, isoform A	TcasGA2-TC002055	CM000285.3	5934941	5940560	5620	+	Meiosis-specific nuclear structural protein 1-like Protein	10
TcasGA2-TC0077112	3.37274491811176e-136	0.408324485453686	0.863	0.354	3.57072504480492e-132	4	TcasGA2-TC007711	TcasGA2_TC007711	gnl|WGS:AAJJ|TC007711-PA	Tom70	translocase of outer membrane 70, isoform A	TcasGA2-TC007711	CM000279.2	70155	72154	2000	+	Mitochondrial import receptor subunit TOM70-like Protein	4
TcasGA2-TC009867	1.13790606123291e-135	0.302481811077738	0.417	0.119	1.20470114702728e-131	4	TcasGA2-TC009867	TcasGA2_TC009867	gnl|WGS:AAJJ|TC009867-PA	CG4744	uncharacterized protein Dmel_CG4744	TcasGA2-TC009867	CM000282.3	12872861	12884115	11255	-	hypothetical protein	7
TcasGA2-TC0340422	7.27339306302739e-135	0.389086815181611	0.589	0.203	7.7003412358271e-131	4	TcasGA2-TC034042	TcasGA2_TC034042	gnl|WGS:AAJJ|TC034042-PA	Dis3l2	Dis3 like 3\\'-5\\' exoribonuclease 2, isoform C	TcasGA2-TC034042	CM000283.3	7238071	7242191	4121	+	DIS3-like exonuclease 2	8
TcasGA2-TC0013592	7.90498187224378e-135	0.283651817981678	0.517	0.165	8.36900430814449e-131	4	TcasGA2-TC001359	TcasGA2_TC001359	gnl|WGS:AAJJ|TC001359-PA	janA	janus A, isoform A	TcasGA2-TC001359	CM000277.3	15029571	15030112	542	+	Sex-regulated protein janus-A-like Protein	2
TcasGA2-TC0306122	8.97328852230147e-135	0.403913671420713	0.824	0.335	9.50002055856057e-131	4	TcasGA2-TC030612	TcasGA2_TC030612	gnl|WGS:AAJJ|TC030612-PA	Tbce	Tubulin-specific chaperone E, isoform C	TcasGA2-TC030612	CM000278.3	8834143	8836118	1976	-	Tubulin-specific chaperone E-like Protein	3
TcasGA2-TC0055442	1.08637145748619e-134	0.469978571123637	0.971	0.461	1.15014146204063e-130	4	TcasGA2-TC005544	TcasGA2_TC005544	gnl|WGS:AAJJ|TC005544-PA	Swip-1	Swiprosin-1, isoform B	TcasGA2-TC005544	CM000283.3	11466805	11467407	603	-	EF-hand domain-containing protein D2 homolog-like Protein	8
TcasGA2-TC0115422	2.08221003311816e-134	0.450176393983405	0.961	0.458	2.2044357620622e-130	4	TcasGA2-TC011542	TcasGA2_TC011542	gnl|WGS:AAJJ|TC011542-PA	Asciz	ASCIZ zinc finger protein, isoform B	TcasGA2-TC011542	CM000278.3	3725032	3727289	2258	+	hypothetical protein	3
TcasGA2-TC009348	2.33076987742962e-134	0.411026922503656	0.314	0.074	2.46758606923473e-130	4	TcasGA2-TC009348	TcasGA2_TC009348	gnl|WGS:AAJJ|TC009348-PA	CG13364	uncharacterized protein Dmel_CG13364	TcasGA2-TC009348	CM000282.3	652395	652832	438	+	hypothetical protein	7
TcasGA2-TC0119132	4.89941335006926e-134	0.807428365773992	0.997	0.498	5.18700891371832e-130	4	TcasGA2-TC011913	TcasGA2_TC011913	gnl|WGS:AAJJ|TC011913-PA	Sfxn1-3	sideroflexin 1/3, isoform A	TcasGA2-TC011913	CM000284.3	11732035	11733732	1698	-	Sideroflexin-3-like Protein	9
TcasGA2-TC0155942	7.96992616853073e-134	0.42790217505549	0.477	0.146	8.43776083462348e-130	4	TcasGA2-TC015594	TcasGA2_TC015594	gnl|WGS:AAJJ|TC015594-PA	PPP1R15	protein phosphatase 1 regulatory subunit 15	TcasGA2-TC015594	CM000281.3	3200269	3201622	1354	+	hypothetical protein	6
TcasGA2-TC006257	8.10969581145828e-134	0.315928262510369	0.25	0.05	8.58573495559088e-130	4	TcasGA2-TC006257	TcasGA2_TC006257	gnl|WGS:AAJJ|TC006257-PA	CG10366	uncharacterized protein Dmel_CG10366	TcasGA2-TC006257	CM000283.3	5892034	5894062	2029	+	hypothetical protein	8
TcasGA2-TC0000502	1.0524886234976e-133	0.414408528015714	0.78	0.316	1.11426970569691e-129	4	TcasGA2-TC000050	TcasGA2_TC000050	gnl|WGS:AAJJ|TC000050-PA	Arpc1	Actin-related protein 2/3 complex, subunit 1, isoform A	TcasGA2-TC000050	CM000278.3	10785475	10789048	3574	+	Actin-related protein 2/3 complex subunit 1A-like Protein	3
TcasGA2-TC0343202	1.59429544856139e-133	0.416511179365861	0.441	0.131	1.68788059139194e-129	4	TcasGA2-TC034320	TcasGA2_TC034320	gnl|WGS:AAJJ|TC034320-PA	Strn-Mlck	Stretchin-Mlck, isoform T	TcasGA2-TC034320	CM000284.3	6468894	6476959	8066	-	hypothetical protein	9
TcasGA2-TC016111	8.07601903052376e-133	0.351949581369388	0.257	0.053	8.55008134761551e-129	4	TcasGA2-TC016111	TcasGA2_TC016111	gnl|WGS:AAJJ|TC016111-PA	Psf1	partner of Sld five 1	TcasGA2-TC016111	KQ972823.1	174837	175715	879	-	DNA replication complex GINS protein PSF1-like Protein	NA
TcasGA2-TC034047	3.83655779340337e-131	0.269586040561525	0.572	0.196	4.06176373587615e-127	4	TcasGA2-TC034047	TcasGA2_TC034047	gnl|WGS:AAJJ|TC034047-PA	dmGlut	dietary and metabolic glutamate transporter	TcasGA2-TC034047	CM000283.3	7399050	7404700	5651	-	Putative inorganic phosphate cotransporter-like Protein	8
TcasGA2-TC016401	1.05789107715766e-130	0.345191126168377	0.262	0.055	1.11998928338681e-126	4	TcasGA2-TC016401	TcasGA2_TC016401	gnl|WGS:AAJJ|TC016401-PA	Reepl1	receptor accessory protein like 1, isoform B	TcasGA2-TC016401	KQ971905.1	178054	183633	5580	-	hypothetical protein	NA
TcasGA2-TC0089982	2.15801962375674e-130	0.528959885955304	0.973	0.468	2.28469537567126e-126	4	TcasGA2-TC008998	TcasGA2_TC008998	gnl|WGS:AAJJ|TC008998-PA	ps	pasilla, isoform K	TcasGA2-TC008998	CM000282.3	8949068	8973155	24088	-	RNA-binding protein Nova-1-like Protein	7
TcasGA2-TC000997	4.57039170306959e-130	0.379880677821709	0.255	0.053	4.83867369603977e-126	4	TcasGA2-TC000997	TcasGA2_TC000997	gnl|WGS:AAJJ|TC000997-PA	Herc4	HECT and RLD domain containing E3 ubiquitin ligase 4, isoform B	TcasGA2-TC000997	CM000277.3	9519128	9524245	5118	+	putative E3 ubiquitin-protein ligase HERC4-like Protein	2
TcasGA2-TC0128442	3.47138624819512e-129	0.4379391206662	0.962	0.431	3.67515662096417e-125	4	TcasGA2-TC012844	TcasGA2_TC012844	gnl|WGS:AAJJ|TC012844-PA	Mdh2	malate dehydrogenase 2	TcasGA2-TC012844	CM000284.3	15687912	15689391	1480	-	Malate dehydrogenase, mitochondrial-like Protein	9
TcasGA2-TC0314452	4.66487646987372e-129	0.295217479707413	0.689	0.257	4.93870471865531e-125	4	TcasGA2-TC031445	TcasGA2_TC031445	gnl|WGS:AAJJ|TC031445-PA	CG9657	uncharacterized protein Dmel_CG9657, isoform B	TcasGA2-TC031445	CM000285.3	6750330	6775376	25047	+	hypothetical protein	10
TcasGA2-TC0162241	6.12430049539732e-129	0.390194642282468	0.314	0.077	6.48379693447714e-125	4	TcasGA2-TC016224	TcasGA2_TC016224	gnl|WGS:AAJJ|TC016224-PA	CG9581	uncharacterized protein Dmel_CG9581	TcasGA2-TC016224	CM000285.3	4441500	4443899	2400	+	putative Xaa-Pro aminopeptidase 3-like Protein	10
TcasGA2-TC0103002	6.37036135923552e-129	0.411640925549423	0.392	0.11	6.74430157102264e-125	4	TcasGA2-TC010300	TcasGA2_TC010300	gnl|WGS:AAJJ|TC010300-PA	bon	bonus, isoform A	TcasGA2-TC010300	KQ973366.1	2336	6230	3895	+	E3 ubiquitin-protein ligase TRIM37-like Protein	NA
TcasGA2-TC0048552	1.70268295029341e-128	0.479325291619564	0.917	0.411	1.80263043947564e-124	4	TcasGA2-TC004855	TcasGA2_TC004855	gnl|WGS:AAJJ|TC004855-PA	Letm1	leucine zipper and EF-hand containing transmembrane protein 1, isoform B	TcasGA2-TC004855	CM000277.3	3145010	3150878	5869	+	LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial-like Protein	2
TcasGA2-TC0098572	1.8094600317621e-128	0.35434226728821	0.729	0.282	1.91567533562653e-124	4	TcasGA2-TC009857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TcasGA2-TC0337251	3.7718363127462e-128	0.254972148250753	0.865	0.373	3.99324310430441e-124	4	TcasGA2-TC033725	TcasGA2_TC033725	gnl|WGS:AAJJ|TC033725-PA	CG13551	uncharacterized protein Dmel_CG13551, isoform A	TcasGA2-TC033725	CM000282.3	13007219	13007756	538	+	ATPase inhibitor mai-2, mitochondrial-like Protein	7
TcasGA2-TC011437	1.20989303569285e-127	0.307679699408107	0.287	0.066	1.28091375688802e-123	4	TcasGA2-TC011437	TcasGA2_TC011437	gnl|WGS:AAJJ|TC011437-PA	Mcm2	minichromosome maintenance 2	TcasGA2-TC011437	CM000285.3	5011450	5022918	11469	-	DNA replication licensing factor Mcm2-like Protein	10
TcasGA2-TC0030772	1.51473829952541e-127	0.502564092109203	0.982	0.471	1.60365343770755e-123	4	TcasGA2-TC003077	TcasGA2_TC003077	gnl|WGS:AAJJ|TC003077-PA	CG15708	uncharacterized protein Dmel_CG15708	TcasGA2-TC003077	CM000278.3	2638736	2639886	1151	-	hypothetical protein	3
TcasGA2-TC0082681	6.10710105362969e-126	0.505455085238061	0.991	0.523	6.46558788547775e-122	4	TcasGA2-TC008268	TcasGA2_TC008268	gnl|WGS:AAJJ|TC008268-PA	cana	CENP-ana, isoform A	TcasGA2-TC008268	CM000279.2	7581234	7584595	3362	+	hypothetical protein	4
TcasGA2-TC0331282	2.27226430951469e-125	0.795330391633379	0.999	0.56	2.4056462244832e-121	4	TcasGA2-TC033128	TcasGA2_TC033128	gnl|WGS:AAJJ|TC033128-PA	Ttc19	tetratricopeptide repeat domain 19	TcasGA2-TC033128	CM000280.3	9029821	9031785	1965	+	Tetratricopeptide repeat protein 19 homolog, mitochondrial-like Protein	5
TcasGA2-TC0121742	7.43662243453207e-125	0.716627193442929	0.999	0.511	7.8731521714391e-121	4	TcasGA2-TC012174	TcasGA2_TC012174	gnl|WGS:AAJJ|TC012174-PA	CG17377	uncharacterized protein Dmel_CG17377, isoform E	TcasGA2-TC012174	CM000284.3	3914583	3915350	768	-	hypothetical protein	9
TcasGA2-TC0137022	2.56012650278354e-124	0.437565224358635	0.897	0.392	2.71040592849693e-120	4	TcasGA2-TC013702	TcasGA2_TC013702	gnl|WGS:AAJJ|TC013702-PA	rngo	rings lost, isoform B	TcasGA2-TC013702	CM000280.3	5705561	5710180	4620	-	Protein DDI1 homolog 2-like Protein	5
TcasGA2-TC0111222	3.45595686898994e-124	0.288051797176603	0.54	0.183	3.65882153719965e-120	4	TcasGA2-TC011122	TcasGA2_TC011122	gnl|WGS:AAJJ|TC011122-PA	CG14853	uncharacterized protein Dmel_CG14853, isoform C	TcasGA2-TC011122	KQ971410.1	3226	10236	7011	-	hypothetical protein	NA
